BGGId,Name,Year,Weight,AvgRating,MinPlayers,MaxPlayers,NumRatings,Kickstarted,Rank,Category
1,Die Macher,1986,4.3206,7.61428,3,5,5354,0,316,Strategy
2,Dragonmaster,1981,1.963,6.64537,3,4,562,0,3993,Strategy
3,Samurai,1998,2.4859,7.45601,2,4,15146,0,224,Strategy
4,Tal der Könige,1992,2.6667,6.60006,2,4,340,0,5345,Thematic
6,Mare Mediterraneum,1989,3.0,6.5537,2,6,81,0,10766,Thematic
8,Lords of Creation,1993,2.4,6.10716,2,5,201,0,9144,Thematic
9,El Caballero,1998,3.1824,6.45265,2,4,1389,0,2948,Strategy
10,Elfenland,1998,2.1578,6.69695,2,6,8324,0,1117,Family
11,Bohnanza,1997,1.6751,7.04068,2,7,39886,0,468,Family
12,Ra,1999,2.3498,7.47924,2,5,19685,0,186,Strategy
13,Catan,1995,2.3139,7.13746,3,4,107141,0,427,Strategy
14,Basari,1998,1.8571,6.75682,3,4,1650,0,2015,Strategy
16,MarraCash,1996,2.1505,6.83223,3,4,964,0,2575,Strategy
17,Button Men,1999,1.527,6.37009,2,2,804,0,4220,CGS
18,RoboRally,1994,2.4302,7.07714,2,8,22840,0,473,Thematic
19,Wacky Wacky West,1991,1.8365,6.29107,2,4,1791,0,3111,Family
20,Full Metal Planète,1988,3.1639,7.48874,2,4,726,0,2231,Strategy
21,Gateway to the Stars,1994,3.0,5.5,1,7,32,0,18027,Thematic
24,Twilight Imperium,1997,3.4906,6.62609,2,6,695,0,3892,Thematic
25,Battlemist,1998,3.2,5.92531,2,6,322,0,9670,Thematic
26,Age of Renaissance,1996,3.8598,7.09678,3,6,2144,0,1356,Strategy
27,Supremacy: The Game of the Superpowers,1984,3.1271,5.65347,2,6,1334,0,16375,War
28,Illuminati,1987,2.6472,6.4816,2,8,4933,0,1919,Thematic
29,Terrain Vague,1993,3.25,6.68521,2,4,71,0,10342,Thematic
30,Dark Tower,1981,1.81,6.84482,1,4,1295,0,2658,Thematic
31,Dark World,1991,1.9259,5.36587,2,5,784,0,21307,Thematic
34,Arkham Horror,1987,2.3958,6.64889,1,8,535,0,4509,Thematic
36,Federation & Empire,1986,4.4032,6.40295,2,8,407,0,5892,War
37,Dragon Masters,1991,2.0909,5.8106,2,4,151,0,15658,War
38,Runes,1981,1.9,6.16082,2,4,97,0,11818,Thematic
40,Borderlands,1982,2.7826,6.73841,2,4,268,0,5988,Thematic
41,Can't Stop,1980,1.1553,6.85195,2,4,14370,0,753,Family
42,Tigris & Euphrates,1997,3.5064,7.69599,2,4,26068,0,96,Strategy
43,Airlines,1990,2.4242,6.58402,2,6,370,0,5195,Strategy
44,David & Goliath,1997,1.6257,6.45438,3,6,1598,0,2699,Family
46,Medici,1995,2.2555,7.15626,2,6,7414,1,562,Strategy
47,Chinatown,1999,2.2685,7.35277,3,5,9033,0,375,Strategy
48,Krieg und Frieden,1999,2.4638,6.09125,2,4,716,0,5454,Strategy
49,Mamma Mia!,1998,1.3693,6.47074,2,5,5800,0,1635,Family
50,Lost Cities,1999,1.4921,7.18784,2,2,39233,0,325,Family
51,Ricochet Robots,1999,2.4107,7.01391,1,99,8262,0,720,Abstract
52,Mighty Empires,1990,2.6,6.16538,2,3,515,0,6719,War
53,Brauerei,1996,3.0,5.96143,3,6,35,0,16632,Thematic
54,Tikal,1999,2.7906,7.33204,2,4,18453,0,282,Strategy
55,Sophie's World,1998,1.5556,4.87444,2,6,90,0,20750,Thematic
57,Schoko & Co.,1987,2.9149,6.65293,2,4,408,0,4738,Strategy
58,Kings & Things,1986,2.6437,6.50457,2,4,1627,0,2687,Thematic
59,Giganten,1999,2.5693,6.69704,3,4,1392,0,2301,Strategy
60,Vinci,1999,2.7813,7.07778,3,6,3965,0,910,Strategy
61,Fossil,1998,1.7451,5.44069,2,6,673,0,20022,Family
62,Curse of the Mummy's Tomb,1988,1.88,5.31848,1,4,341,0,20720,Thematic
64,Joan of Arc,1998,2.5424,6.27643,3,6,445,0,6031,Strategy
66,Löwenherz,1997,2.9286,7.02767,2,4,2459,0,1244,Strategy
68,Successors (First/Second Edition),1997,3.194,7.04767,2,4,493,0,3562,War
69,Bollox,1999,2.4,6.77708,2,2,48,0,12713,Abstract
70,Big City,1999,2.2171,6.8628,2,5,2376,0,1486,Strategy
71,Civilization,1980,3.6564,7.49788,2,7,7197,0,347,Strategy
72,Verräter,1998,2.5676,6.69248,3,4,1925,0,1971,Strategy
73,Show Manager,1996,2.0943,6.99684,2,6,1723,0,1602,Strategy
74,Apples to Apples,1999,1.1588,5.79633,4,10,17992,0,5238,Party
75,Falling,1998,1.2231,5.49727,4,8,1394,0,19664,Party
